11111111A;123123123;05/02/2014;+100
11111111A;123123123;07/02/2014;-124
11111111A;123123123;08/02/2014;+10
11111111A;123123123;09/02/2014;+0
11111111A;123123123;10/02/2014;+20
11111111A;123123123;14/02/2014;+2
11111111A;123123123;15/02/2014;+134
11111111A;123123123;16/02/2014;-12
11111111A;123123123;17/02/2014;-156
11111111A;123123123;18/02/2014;+120
11111111A;123123123;19/02/2014;+12
22222222B;123123124;21/02/2014;+22
11111111A;123123123;22/02/2014;+234
11111111A;123123123;23/02/2014;-123
11111111A;123123123;24/02/2014;+1232
